action,technique_id,stakeholder_id,capability,note
detect,dns-rebinding,device-os-and-application-software-developers,no,
detect,dns-rebinding,domain-registrants,yes,w/ proactive monitoring
detect,dns-rebinding,end-user,no,
detect,dns-rebinding,law-enforcement-and-public-safety-authorities,no,
detect,dns-rebinding,csirts,no,
detect,dns-rebinding,incident-responder-internal,yes,
detect,dns-server-compromise,registrars,no,
detect,dns-server-compromise,registries,no,
detect,dns-server-compromise,authoritative-operators,yes,if the compromise is of the authoritative server
detect,dns-server-compromise,domain-name-resellers,no,
detect,dns-server-compromise,recursive-operators,yes,if the recursive resolver is itself compromised
detect,dns-server-compromise,network-operators,no,
detect,dns-server-compromise,application-service-provider,yes,
detect,dns-server-compromise,hosting-provider,no,
detect,dns-server-compromise,threat-intelligence-provider,yes,
detect,dns-server-compromise,device-os-and-application-software-developers,no,
detect,dns-server-compromise,domain-registrants,no,
detect,dns-server-compromise,end-user,no,
detect,dns-server-compromise,law-enforcement-and-public-safety-authorities,no,
detect,dns-server-compromise,csirts,no,
detect,dns-server-compromise,incident-responder-internal,no,If no passive DNS logs from before the compromise
detect,stub-resolver-hijacking,registrars,no,
detect,stub-resolver-hijacking,registries,no,
detect,stub-resolver-hijacking,authoritative-operators,no,
detect,stub-resolver-hijacking,domain-name-resellers,no,
detect,stub-resolver-hijacking,recursive-operators,no,
detect,stub-resolver-hijacking,network-operators,no,
detect,stub-resolver-hijacking,application-service-provider,no,
detect,stub-resolver-hijacking,hosting-provider,no,
detect,stub-resolver-hijacking,threat-intelligence-provider,yes,
detect,stub-resolver-hijacking,device-os-and-application-software-developers,yes,
detect,stub-resolver-hijacking,domain-registrants,no,
detect,stub-resolver-hijacking,end-user,yes,Maybe depends on Anti-virus Software
detect,stub-resolver-hijacking,law-enforcement-and-public-safety-authorities,no,
detect,stub-resolver-hijacking,csirts,no,
detect,stub-resolver-hijacking,incident-responder-internal,yes,
detect,local-recursive-resolver-hijacking,registrars,no,
detect,local-recursive-resolver-hijacking,registries,no,
detect,local-recursive-resolver-hijacking,authoritative-operators,no,
detect,local-recursive-resolver-hijacking,domain-name-resellers,no,
detect,local-recursive-resolver-hijacking,recursive-operators,no,
detect,local-recursive-resolver-hijacking,network-operators,yes,"NetFlow, Zeek + threat intelligence"
detect,local-recursive-resolver-hijacking,application-service-provider,no,
detect,local-recursive-resolver-hijacking,hosting-provider,no,
detect,local-recursive-resolver-hijacking,threat-intelligence-provider,yes,
detect,local-recursive-resolver-hijacking,device-os-and-application-software-developers,yes,
detect,local-recursive-resolver-hijacking,domain-registrants,no,
detect,local-recursive-resolver-hijacking,end-user,yes,Built-in security features on home routers
detect,local-recursive-resolver-hijacking,law-enforcement-and-public-safety-authorities,no,
detect,local-recursive-resolver-hijacking,csirts,no,
detect,local-recursive-resolver-hijacking,incident-responder-internal,yes,
detect,on-path-dns-attack,registrars,no,
detect,on-path-dns-attack,registries,no,
detect,on-path-dns-attack,authoritative-operators,no,
detect,on-path-dns-attack,domain-name-resellers,no,
detect,on-path-dns-attack,recursive-operators,yes,
detect,on-path-dns-attack,network-operators,yes,
detect,on-path-dns-attack,application-service-provider,no,
detect,on-path-dns-attack,hosting-provider,no,
detect,on-path-dns-attack,threat-intelligence-provider,no,
detect,on-path-dns-attack,device-os-and-application-software-developers,no,
detect,on-path-dns-attack,domain-registrants,no,
detect,on-path-dns-attack,end-user,no,
detect,on-path-dns-attack,law-enforcement-and-public-safety-authorities,no,
detect,on-path-dns-attack,csirts,no,
detect,on-path-dns-attack,incident-responder-internal,yes,Only if passive DNS logs and if resolution path can be checked
detect,dos-against-the-dns,registrars,no,
detect,dos-against-the-dns,registries,no,
detect,dos-against-the-dns,authoritative-operators,yes,if the attack is against authoritative servers
detect,dos-against-the-dns,domain-name-resellers,no,
detect,dos-against-the-dns,recursive-operators,yes,"if attack targets the recursive or authoritative - logs, NetFlow, Zeek"
detect,dos-against-the-dns,network-operators,yes,"Flow analysis - NetFlow, Zeek"
detect,dos-against-the-dns,application-service-provider,no,
detect,dos-against-the-dns,hosting-provider,no,
detect,dos-against-the-dns,threat-intelligence-provider,no,
detect,dos-against-the-dns,device-os-and-application-software-developers,no,
detect,dos-against-the-dns,domain-registrants,no,
detect,dos-against-the-dns,end-user,no,
detect,dos-against-the-dns,law-enforcement-and-public-safety-authorities,yes,
detect,dos-against-the-dns,csirts,no,
detect,dos-against-the-dns,incident-responder-internal,yes,
detect,dns-as-a-vector-for-dos,registrars,no,
detect,dns-as-a-vector-for-dos,registries,no,
detect,dns-as-a-vector-for-dos,authoritative-operators,yes,if attack leverages authoritative responses
detect,dns-as-a-vector-for-dos,domain-name-resellers,no,
detect,dns-as-a-vector-for-dos,recursive-operators,yes,"if attack targets the recursive or authoritative - logs, NetFlow, Zeek"
detect,dns-as-a-vector-for-dos,network-operators,yes,"Flow analysis - NetFlow, Zeek"
detect,dns-as-a-vector-for-dos,application-service-provider,no,
detect,dns-as-a-vector-for-dos,hosting-provider,no,
detect,dns-as-a-vector-for-dos,threat-intelligence-provider,no,
detect,dns-as-a-vector-for-dos,device-os-and-application-software-developers,yes,
detect,dns-as-a-vector-for-dos,domain-registrants,no,
detect,dns-as-a-vector-for-dos,end-user,no,
detect,dns-as-a-vector-for-dos,law-enforcement-and-public-safety-authorities,yes,
detect,dns-as-a-vector-for-dos,csirts,no,
detect,dns-as-a-vector-for-dos,incident-responder-internal,yes,
detect,obfuscation-via-dynamic-dns,registrars,no,
detect,obfuscation-via-dynamic-dns,registries,yes,eSLDs only
detect,obfuscation-via-dynamic-dns,authoritative-operators,no,
detect,obfuscation-via-dynamic-dns,domain-name-resellers,no,
detect,obfuscation-via-dynamic-dns,recursive-operators,yes,
detect,obfuscation-via-dynamic-dns,network-operators,no,
detect,obfuscation-via-dynamic-dns,application-service-provider,no,
detect,obfuscation-via-dynamic-dns,hosting-provider,no,
detect,obfuscation-via-dynamic-dns,threat-intelligence-provider,yes,
detect,obfuscation-via-dynamic-dns,device-os-and-application-software-developers,no,
detect,obfuscation-via-dynamic-dns,domain-registrants,no,N/A (Registrant is Threat Actor Itself)
detect,obfuscation-via-dynamic-dns,end-user,yes,Anti-virus Software
detect,obfuscation-via-dynamic-dns,law-enforcement-and-public-safety-authorities,yes,
detect,obfuscation-via-dynamic-dns,csirts,no,
detect,obfuscation-via-dynamic-dns,incident-responder-internal,yes,"assuming pDNS logs, or active resolutions if ongoing"
detect,fast-flux,registrars,no,
detect,fast-flux,registries,yes,eSLDs only
detect,fast-flux,authoritative-operators,yes,"eSLDs only,flagging short TTLs for further analysis"
detect,fast-flux,domain-name-resellers,no,
detect,fast-flux,recursive-operators,yes,"Flow analysis using NetFlow, Zeek"
detect,fast-flux,network-operators,no,not without Passive DNS
detect,fast-flux,application-service-provider,no,
detect,fast-flux,hosting-provider,no,
detect,fast-flux,threat-intelligence-provider,yes,
detect,fast-flux,device-os-and-application-software-developers,no,
detect,fast-flux,domain-registrants,no,N/A (Registrant is Threat Actor Itself)
detect,fast-flux,end-user,yes,Anti-virus Software
detect,fast-flux,law-enforcement-and-public-safety-authorities,yes,
detect,fast-flux,csirts,no,
detect,fast-flux,incident-responder-internal,yes,"assuming passive DNS logs, or maybe active resolutions if dynamic DNS is ongoing"
detect,infiltration-and-exfiltration-via-the-dns,registrars,no,
detect,infiltration-and-exfiltration-via-the-dns,registries,no,
detect,infiltration-and-exfiltration-via-the-dns,authoritative-operators,no,
detect,infiltration-and-exfiltration-via-the-dns,domain-name-resellers,no,
detect,infiltration-and-exfiltration-via-the-dns,recursive-operators,no,
detect,infiltration-and-exfiltration-via-the-dns,network-operators,no,not without analysis of traffic
detect,infiltration-and-exfiltration-via-the-dns,application-service-provider,no,
detect,infiltration-and-exfiltration-via-the-dns,hosting-provider,no,
detect,infiltration-and-exfiltration-via-the-dns,threat-intelligence-provider,yes,
detect,infiltration-and-exfiltration-via-the-dns,device-os-and-application-software-developers,no,
detect,infiltration-and-exfiltration-via-the-dns,domain-registrants,no,N/A (Registrant is Threat Actor Itself)
detect,infiltration-and-exfiltration-via-the-dns,end-user,no,
detect,infiltration-and-exfiltration-via-the-dns,law-enforcement-and-public-safety-authorities,yes,
detect,infiltration-and-exfiltration-via-the-dns,csirts,no,
detect,infiltration-and-exfiltration-via-the-dns,incident-responder-internal,yes,assuming pDNS logs
detect,malicious-registration-of-effective-second-level-domains,registrars,yes,"eSLDs only, w/ analysis at point of creation and during the lifetime of the domains"
detect,malicious-registration-of-effective-second-level-domains,registries,yes,
detect,malicious-registration-of-effective-second-level-domains,authoritative-operators,yes,depending on the strings
detect,malicious-registration-of-effective-second-level-domains,domain-name-resellers,yes,
detect,malicious-registration-of-effective-second-level-domains,recursive-operators,yes,pDNS analysis
detect,malicious-registration-of-effective-second-level-domains,network-operators,no,
detect,malicious-registration-of-effective-second-level-domains,application-service-provider,yes,
detect,malicious-registration-of-effective-second-level-domains,hosting-provider,no,
detect,malicious-registration-of-effective-second-level-domains,threat-intelligence-provider,yes,
detect,malicious-registration-of-effective-second-level-domains,device-os-and-application-software-developers,no,
detect,malicious-registration-of-effective-second-level-domains,domain-registrants,no,N/A (Registrant is Threat Actor Itself)
detect,malicious-registration-of-effective-second-level-domains,end-user,no,
detect,malicious-registration-of-effective-second-level-domains,law-enforcement-and-public-safety-authorities,yes,"Contact registrar, escalate to registry"
detect,malicious-registration-of-effective-second-level-domains,csirts,no,
detect,malicious-registration-of-effective-second-level-domains,incident-responder-internal,no,Can't detect the registration
detect,creation-of-malicious-subdomains-under-dynamic-dns-providers,registrars,no,
detect,creation-of-malicious-subdomains-under-dynamic-dns-providers,registries,no,
detect,creation-of-malicious-subdomains-under-dynamic-dns-providers,authoritative-operators,yes,
detect,creation-of-malicious-subdomains-under-dynamic-dns-providers,domain-name-resellers,no,
detect,creation-of-malicious-subdomains-under-dynamic-dns-providers,recursive-operators,yes,DNS RPZ logging + threat intelligence
detect,creation-of-malicious-subdomains-under-dynamic-dns-providers,network-operators,no,
detect,creation-of-malicious-subdomains-under-dynamic-dns-providers,application-service-provider,yes,
detect,creation-of-malicious-subdomains-under-dynamic-dns-providers,hosting-provider,no,
detect,creation-of-malicious-subdomains-under-dynamic-dns-providers,threat-intelligence-provider,yes,
detect,creation-of-malicious-subdomains-under-dynamic-dns-providers,device-os-and-application-software-developers,no,
detect,creation-of-malicious-subdomains-under-dynamic-dns-providers,domain-registrants,no,N/A (Registrant is Threat Actor Itself)
detect,creation-of-malicious-subdomains-under-dynamic-dns-providers,end-user,no,
detect,creation-of-malicious-subdomains-under-dynamic-dns-providers,law-enforcement-and-public-safety-authorities,yes,
detect,creation-of-malicious-subdomains-under-dynamic-dns-providers,csirts,no,
detect,creation-of-malicious-subdomains-under-dynamic-dns-providers,incident-responder-internal,no,Creation of names not detectable
detect,compromise-of-a-non-dns-server-to-conduct-abuse,registrars,no,
detect,compromise-of-a-non-dns-server-to-conduct-abuse,registries,no,
detect,compromise-of-a-non-dns-server-to-conduct-abuse,authoritative-operators,no,
detect,compromise-of-a-non-dns-server-to-conduct-abuse,domain-name-resellers,no,
detect,compromise-of-a-non-dns-server-to-conduct-abuse,recursive-operators,no,
detect,compromise-of-a-non-dns-server-to-conduct-abuse,network-operators,no,
detect,compromise-of-a-non-dns-server-to-conduct-abuse,application-service-provider,no,
detect,compromise-of-a-non-dns-server-to-conduct-abuse,hosting-provider,yes,not bulletproof
detect,compromise-of-a-non-dns-server-to-conduct-abuse,threat-intelligence-provider,yes,
detect,compromise-of-a-non-dns-server-to-conduct-abuse,device-os-and-application-software-developers,no,
detect,compromise-of-a-non-dns-server-to-conduct-abuse,domain-registrants,no,
detect,compromise-of-a-non-dns-server-to-conduct-abuse,end-user,no,
detect,compromise-of-a-non-dns-server-to-conduct-abuse,law-enforcement-and-public-safety-authorities,yes,
detect,compromise-of-a-non-dns-server-to-conduct-abuse,csirts,no,
detect,compromise-of-a-non-dns-server-to-conduct-abuse,incident-responder-internal,yes,
detect,use-of-an-unregistered-domain,registrars,no,
detect,use-of-an-unregistered-domain,registries,no,
detect,use-of-an-unregistered-domain,authoritative-operators,yes,
detect,use-of-an-unregistered-domain,domain-name-resellers,no,
detect,use-of-an-unregistered-domain,recursive-operators,yes,"DNS log analysis, Zeek"
detect,use-of-an-unregistered-domain,network-operators,no,
detect,use-of-an-unregistered-domain,application-service-provider,no,
detect,use-of-an-unregistered-domain,hosting-provider,yes,not bulletproof
detect,use-of-an-unregistered-domain,threat-intelligence-provider,yes,
detect,use-of-an-unregistered-domain,device-os-and-application-software-developers,no,
detect,use-of-an-unregistered-domain,domain-registrants,no,
detect,use-of-an-unregistered-domain,end-user,no,
detect,use-of-an-unregistered-domain,law-enforcement-and-public-safety-authorities,yes,
detect,use-of-an-unregistered-domain,csirts,no,
detect,use-of-an-unregistered-domain,incident-responder-internal,yes,
detect,spoofing-of-a-registered-domain,registrars,no,
detect,spoofing-of-a-registered-domain,registries,yes,
detect,spoofing-of-a-registered-domain,authoritative-operators,no,
detect,spoofing-of-a-registered-domain,domain-name-resellers,no,
detect,spoofing-of-a-registered-domain,recursive-operators,yes,Analysis of DNS responses - RFC 8914
detect,spoofing-of-a-registered-domain,network-operators,no,
detect,spoofing-of-a-registered-domain,application-service-provider,yes,
detect,spoofing-of-a-registered-domain,hosting-provider,yes,not bulletproof
detect,spoofing-of-a-registered-domain,threat-intelligence-provider,yes,
detect,spoofing-of-a-registered-domain,device-os-and-application-software-developers,no,
detect,spoofing-of-a-registered-domain,domain-registrants,no,unless using DMARC
detect,spoofing-of-a-registered-domain,end-user,no,
detect,spoofing-of-a-registered-domain,law-enforcement-and-public-safety-authorities,yes,
detect,spoofing-of-a-registered-domain,csirts,no,
detect,spoofing-of-a-registered-domain,incident-responder-internal,yes,assuming DMARC or maybe pDNS analysis
detect,dns-tunneling,registrars,no,
detect,dns-tunneling,registries,no,
detect,dns-tunneling,authoritative-operators,no,
detect,dns-tunneling,domain-name-resellers,no,
detect,dns-tunneling,recursive-operators,yes,"Flow analysis using NetFlow, Zeek"
detect,dns-tunneling,network-operators,no,not without analysis of traffic
detect,dns-tunneling,application-service-provider,no,
detect,dns-tunneling,hosting-provider,no,
detect,dns-tunneling,threat-intelligence-provider,yes,
detect,dns-tunneling,device-os-and-application-software-developers,no,
detect,dns-tunneling,domain-registrants,no,
detect,dns-tunneling,end-user,no,
detect,dns-tunneling,law-enforcement-and-public-safety-authorities,no,
detect,dns-tunneling,csirts,no,
detect,dns-tunneling,incident-responder-internal,no,"passive DNS can hypothetically detect this, but it is hard"
detect,dns-beacons-c2-communication,registrars,no,
detect,dns-beacons-c2-communication,registries,yes,
detect,dns-beacons-c2-communication,authoritative-operators,no,
detect,dns-beacons-c2-communication,domain-name-resellers,no,
detect,dns-beacons-c2-communication,recursive-operators,yes,"Flow analysis using NetFlow, Zeek"
detect,dns-beacons-c2-communication,network-operators,no,
detect,dns-beacons-c2-communication,application-service-provider,no,
detect,dns-beacons-c2-communication,hosting-provider,no,
detect,dns-beacons-c2-communication,threat-intelligence-provider,yes,
detect,dns-beacons-c2-communication,device-os-and-application-software-developers,no,
detect,dns-beacons-c2-communication,domain-registrants,no,
detect,dns-beacons-c2-communication,end-user,no,
detect,dns-beacons-c2-communication,law-enforcement-and-public-safety-authorities,yes,
detect,dns-beacons-c2-communication,csirts,no,
detect,dns-beacons-c2-communication,incident-responder-internal,yes,"if aware of machines using the C2 channel, passive DNS"
mitigate,dga-domains,registrars,yes,updating status to onHold or changing name servers
mitigate,dga-domains,registries,yes,
mitigate,dga-domains,authoritative-operators,no,
mitigate,dga-domains,domain-name-resellers,yes,updating status to onHold or changing name servers
mitigate,dga-domains,recursive-operators,yes,dns rpz
mitigate,dga-domains,network-operators,no,
mitigate,dga-domains,application-service-provider,no,
mitigate,dga-domains,hosting-provider,no,
mitigate,dga-domains,threat-intelligence-provider,no,
mitigate,dga-domains,device-os-and-application-software-developers,no,
mitigate,dga-domains,domain-registrants,no,N/A (Registrant is Threat Actor Itself)
mitigate,dga-domains,end-user,no,
mitigate,dga-domains,law-enforcement-and-public-safety-authorities,yes,"Defensive registration, generate domains and share with registries"
mitigate,dga-domains,csirts,no,
mitigate,dga-domains,incident-responder-internal,yes,blocking
mitigate,domain-name-compromise,registrars,yes,if compromise at the registrar level
mitigate,domain-name-compromise,registries,yes,
mitigate,domain-name-compromise,authoritative-operators,yes,
mitigate,domain-name-compromise,domain-name-resellers,yes,if compromise is at the reseller level
mitigate,domain-name-compromise,recursive-operators,yes,
mitigate,domain-name-compromise,network-operators,no,
mitigate,domain-name-compromise,application-service-provider,no,
mitigate,domain-name-compromise,hosting-provider,no,
mitigate,domain-name-compromise,threat-intelligence-provider,no,
mitigate,domain-name-compromise,device-os-and-application-software-developers,no,
mitigate,domain-name-compromise,domain-registrants,yes,w/ appropriate clean up
mitigate,domain-name-compromise,end-user,no,
mitigate,domain-name-compromise,law-enforcement-and-public-safety-authorities,no,
mitigate,domain-name-compromise,csirts,no,
mitigate,domain-name-compromise,incident-responder-internal,yes,blocking
mitigate,lame-delegations,registrars,no,
mitigate,lame-delegations,registries,no,
mitigate,lame-delegations,authoritative-operators,no,
mitigate,lame-delegations,domain-name-resellers,no,
mitigate,lame-delegations,recursive-operators,no,
mitigate,lame-delegations,network-operators,no,
mitigate,lame-delegations,application-service-provider,no,
mitigate,lame-delegations,hosting-provider,no,
mitigate,lame-delegations,threat-intelligence-provider,no,
mitigate,lame-delegations,device-os-and-application-software-developers,no,
mitigate,lame-delegations,domain-registrants,yes,updating name servers
mitigate,lame-delegations,end-user,no,
mitigate,lame-delegations,law-enforcement-and-public-safety-authorities,no,
mitigate,lame-delegations,csirts,no,
mitigate,lame-delegations,incident-responder-internal,no,"contact registrar, etc."
mitigate,dns-cache-poisoning,registrars,no,
mitigate,dns-cache-poisoning,registries,no,
mitigate,dns-cache-poisoning,authoritative-operators,yes,
mitigate,dns-cache-poisoning,domain-name-resellers,no,
mitigate,dns-cache-poisoning,recursive-operators,yes,DNSSEC
mitigate,dns-cache-poisoning,network-operators,yes,
mitigate,dns-cache-poisoning,application-service-provider,no,
mitigate,dns-cache-poisoning,hosting-provider,no,
mitigate,dns-cache-poisoning,threat-intelligence-provider,no,
mitigate,dns-cache-poisoning,device-os-and-application-software-developers,no,
mitigate,dns-cache-poisoning,domain-registrants,no,
mitigate,dns-cache-poisoning,end-user,no,
mitigate,dns-cache-poisoning,law-enforcement-and-public-safety-authorities,no,
mitigate,dns-cache-poisoning,csirts,no,
mitigate,dns-cache-poisoning,incident-responder-internal,no,"contact authoritative operator, etc."
mitigate,dns-rebinding,registrars,no,
mitigate,dns-rebinding,registries,yes,
mitigate,dns-rebinding,authoritative-operators,no,
mitigate,dns-rebinding,domain-name-resellers,no,
mitigate,dns-rebinding,recursive-operators,no,
mitigate,dns-rebinding,network-operators,yes,"BCP38, BGP blackhole attacker's IP netblock"
mitigate,dns-rebinding,application-service-provider,no,
mitigate,dns-rebinding,hosting-provider,no,
mitigate,dns-rebinding,threat-intelligence-provider,no,
mitigate,dns-rebinding,device-os-and-application-software-developers,no,
mitigate,dns-rebinding,domain-registrants,no,
mitigate,dns-rebinding,end-user,no,
mitigate,dns-rebinding,law-enforcement-and-public-safety-authorities,no,
mitigate,dns-rebinding,csirts,no,
mitigate,dns-rebinding,incident-responder-internal,yes,
mitigate,dns-server-compromise,registrars,no,
mitigate,dns-server-compromise,registries,no,
mitigate,dns-server-compromise,authoritative-operators,yes,
mitigate,dns-server-compromise,domain-name-resellers,no,
mitigate,dns-server-compromise,recursive-operators,yes,only if it is their server
mitigate,dns-server-compromise,network-operators,no,
mitigate,dns-server-compromise,application-service-provider,no,
mitigate,dns-server-compromise,hosting-provider,no,
mitigate,dns-server-compromise,threat-intelligence-provider,no,
mitigate,dns-server-compromise,device-os-and-application-software-developers,no,
mitigate,dns-server-compromise,domain-registrants,no,
mitigate,dns-server-compromise,end-user,no,
mitigate,dns-server-compromise,law-enforcement-and-public-safety-authorities,no,
mitigate,dns-server-compromise,csirts,no,
mitigate,dns-server-compromise,incident-responder-internal,yes,
mitigate,stub-resolver-hijacking,registrars,no,
mitigate,stub-resolver-hijacking,registries,no,
mitigate,stub-resolver-hijacking,authoritative-operators,no,
mitigate,stub-resolver-hijacking,domain-name-resellers,no,
mitigate,stub-resolver-hijacking,recursive-operators,no,
mitigate,stub-resolver-hijacking,network-operators,no,
mitigate,stub-resolver-hijacking,application-service-provider,no,
mitigate,stub-resolver-hijacking,hosting-provider,no,
mitigate,stub-resolver-hijacking,threat-intelligence-provider,no,
mitigate,stub-resolver-hijacking,device-os-and-application-software-developers,yes,
mitigate,stub-resolver-hijacking,domain-registrants,no,
mitigate,stub-resolver-hijacking,end-user,yes,scan PC with Anti-virus software
mitigate,stub-resolver-hijacking,law-enforcement-and-public-safety-authorities,no,
mitigate,stub-resolver-hijacking,csirts,no,
mitigate,stub-resolver-hijacking,incident-responder-internal,yes,
mitigate,local-recursive-resolver-hijacking,registrars,no,
mitigate,local-recursive-resolver-hijacking,registries,no,
mitigate,local-recursive-resolver-hijacking,authoritative-operators,no,
mitigate,local-recursive-resolver-hijacking,domain-name-resellers,no,
mitigate,local-recursive-resolver-hijacking,recursive-operators,no,
mitigate,local-recursive-resolver-hijacking,network-operators,yes,block egress traffic to malicious DNS server
mitigate,local-recursive-resolver-hijacking,application-service-provider,no,
mitigate,local-recursive-resolver-hijacking,hosting-provider,no,
mitigate,local-recursive-resolver-hijacking,threat-intelligence-provider,no,
mitigate,local-recursive-resolver-hijacking,device-os-and-application-software-developers,no,
mitigate,local-recursive-resolver-hijacking,domain-registrants,no,
mitigate,local-recursive-resolver-hijacking,end-user,yes,reboot the home router or initialization
mitigate,local-recursive-resolver-hijacking,law-enforcement-and-public-safety-authorities,no,
mitigate,local-recursive-resolver-hijacking,csirts,no,
mitigate,local-recursive-resolver-hijacking,incident-responder-internal,yes,
mitigate,on-path-dns-attack,registrars,no,
mitigate,on-path-dns-attack,registries,no,
mitigate,on-path-dns-attack,authoritative-operators,no,
mitigate,on-path-dns-attack,domain-name-resellers,no,
mitigate,on-path-dns-attack,recursive-operators,no,
mitigate,on-path-dns-attack,network-operators,yes,
mitigate,on-path-dns-attack,application-service-provider,no,
mitigate,on-path-dns-attack,hosting-provider,no,
mitigate,on-path-dns-attack,threat-intelligence-provider,no,
mitigate,on-path-dns-attack,device-os-and-application-software-developers,no,
mitigate,on-path-dns-attack,domain-registrants,no,
mitigate,on-path-dns-attack,end-user,no,
mitigate,on-path-dns-attack,law-enforcement-and-public-safety-authorities,no,
mitigate,on-path-dns-attack,csirts,no,
mitigate,on-path-dns-attack,incident-responder-internal,no,contact network operator etc.
mitigate,dos-against-the-dns,registrars,no,
mitigate,dos-against-the-dns,registries,yes,
mitigate,dos-against-the-dns,authoritative-operators,no,
mitigate,dos-against-the-dns,domain-name-resellers,no,
mitigate,dos-against-the-dns,recursive-operators,no,
mitigate,dos-against-the-dns,network-operators,yes,BGP blackhole the attacker's IP
mitigate,dos-against-the-dns,application-service-provider,no,
mitigate,dos-against-the-dns,hosting-provider,no,
mitigate,dos-against-the-dns,threat-intelligence-provider,no,
mitigate,dos-against-the-dns,device-os-and-application-software-developers,no,
mitigate,dos-against-the-dns,domain-registrants,no,
mitigate,dos-against-the-dns,end-user,no,
mitigate,dos-against-the-dns,law-enforcement-and-public-safety-authorities,no,
mitigate,dos-against-the-dns,csirts,no,
mitigate,dos-against-the-dns,incident-responder-internal,yes,
mitigate,dns-as-a-vector-for-dos,registrars,no,
mitigate,dns-as-a-vector-for-dos,registries,yes,
mitigate,dns-as-a-vector-for-dos,authoritative-operators,yes,
mitigate,dns-as-a-vector-for-dos,domain-name-resellers,no,
mitigate,dns-as-a-vector-for-dos,recursive-operators,yes,
mitigate,dns-as-a-vector-for-dos,network-operators,no,
mitigate,dns-as-a-vector-for-dos,application-service-provider,no,
mitigate,dns-as-a-vector-for-dos,hosting-provider,no,
mitigate,dns-as-a-vector-for-dos,threat-intelligence-provider,no,
